"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX4690259","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783618","","163.37","1","1839763","366973548","strain","WGS","GENOMIC","RANDOM"
"SRX4690258","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783617","","150.44","1","1865360","373607581","strain","WGS","GENOMIC","RANDOM"
"SRX4690257","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783616","","215.45","1","2418115","484006375","strain","WGS","GENOMIC","RANDOM"
"SRX4690256","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783615","","72.55","1","959172","192490494","strain","WGS","GENOMIC","RANDOM"
"SRX4690255","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783614","","150.45","1","1820772","364141350","strain","WGS","GENOMIC","RANDOM"
"SRX4690254","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783613","","174.88","1","1997695","399402262","strain","WGS","GENOMIC","RANDOM"
"SRX4690253","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783612","","170.08","1","1888138","378054925","strain","WGS","GENOMIC","RANDOM"
"SRX4690252","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783611","","156.51","1","1809755","360702088","strain","WGS","GENOMIC","RANDOM"
"SRX4690251","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783610","","193.75","1","2352375","470898044","strain","WGS","GENOMIC","RANDOM"
"SRX4690250","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783609","","96.72","1","1259218","252671203","strain","WGS","GENOMIC","RANDOM"
"SRX4690249","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783608","","178.94","1","2147997","429201273","strain","WGS","GENOMIC","RANDOM"
"SRX4690248","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783607","","116.23","1","1320343","263543660","strain","WGS","GENOMIC","RANDOM"
"SRX4690247","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783629","","99.03","1","1114793","222809557","strain","WGS","GENOMIC","RANDOM"
"SRX4690246","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783605","","111.56","1","1230943","246602748","strain","WGS","GENOMIC","RANDOM"
"SRX4690245","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783606","","68.06","1","742861","145724041","strain","WGS","GENOMIC","RANDOM"
"SRX4690244","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783604","","254.67","1","2756581","553340535","strain","WGS","GENOMIC","RANDOM"
"SRX4690243","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3783603","","363.51","1","4198311","842118223","strain","WGS","GENOMIC","RANDOM"
"SRX4689502","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3782864","","161.37","1","1813962","362250494","strain","WGS","GENOMIC","RANDOM"
"SRX4689501","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3782861","","296.96","1","3368757","674832681","strain","WGS","GENOMIC","RANDOM"
"SRX4689500","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3782859","","272.4","1","3096916","619555128","strain","WGS","GENOMIC","RANDOM"
"SRX4689499","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3782860","","85.6","1","1150500","230208873","strain","WGS","GENOMIC","RANDOM"
"SRX4689498","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3782858","","245.01","1","2966937","593299732","strain","WGS","GENOMIC","RANDOM"
"SRX4689497","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3782857","","122.86","1","1358076","271333209","strain","WGS","GENOMIC","RANDOM"
"SRX4689485","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3782842","","198.59","1","2219557","444844902","strain","WGS","GENOMIC","RANDOM"
"SRX4688751","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3782111","","175.84","1","2139700","427943403","strain","WGS","GENOMIC","RANDOM"
"SRX4688018","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3781378","","359.1","1","3960860","792641090","strain","WGS","GENOMIC","RANDOM"
"SRX4688017","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3781376","","168.91","1","2076977","416817310","strain","WGS","GENOMIC","RANDOM"
"SRX4688016","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3781377","","199.82","1","2237337","448330300","strain","WGS","GENOMIC","RANDOM"
"SRX4688015","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3781375","","263.77","1","3030633","608032390","strain","WGS","GENOMIC","RANDOM"
"SRX4687275","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780632","","306.69","1","3300657","659516264","strain","WGS","GENOMIC","RANDOM"
"SRX4687274","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780634","","173.93","1","2171941","433543625","strain","WGS","GENOMIC","RANDOM"
"SRX4687273","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780633","","152.1","1","1698374","340768139","strain","WGS","GENOMIC","RANDOM"
"SRX4687272","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780630","","81.74","1","952949","191251600","strain","WGS","GENOMIC","RANDOM"
"SRX4687271","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780629","","172.46","1","2210561","442964345","strain","WGS","GENOMIC","RANDOM"
"SRX4687270","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780628","","128.46","1","1516486","303783497","strain","WGS","GENOMIC","RANDOM"
"SRX4687269","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780631","","109.46","1","1251152","249409670","strain","WGS","GENOMIC","RANDOM"
"SRX4687268","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780627","","182.09","1","2065851","414456816","strain","WGS","GENOMIC","RANDOM"
"SRX4687267","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780625","","237.01","1","2705940","539997045","strain","WGS","GENOMIC","RANDOM"
"SRX4687265","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780623","","180.37","1","2350782","471149625","strain","WGS","GENOMIC","RANDOM"
"SRX4687264","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780626","","123.38","1","1401037","280633895","strain","WGS","GENOMIC","RANDOM"
"SRX4687263","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780624","","291.01","1","3410575","683535050","strain","WGS","GENOMIC","RANDOM"
"SRX4687262","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780621","","239.95","1","2819728","565257304","strain","WGS","GENOMIC","RANDOM"
"SRX4687261","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780622","","237.47","1","2648991","529129443","strain","WGS","GENOMIC","RANDOM"
"SRX4687260","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780620","","208.81","1","2348657","470069154","strain","WGS","GENOMIC","RANDOM"
"SRX4687259","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780618","","176.74","1","2116406","423205814","strain","WGS","GENOMIC","RANDOM"
"SRX4687258","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780619","","227.09","1","2759283","552003727","strain","WGS","GENOMIC","RANDOM"
"SRX4687257","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780616","","159.9","1","1992369","399457022","strain","WGS","GENOMIC","RANDOM"
"SRX4687256","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780608","","264.53","1","3090387","600824134","strain","WGS","GENOMIC","RANDOM"
"SRX4687255","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780612","","369.49","1","3995840","800421691","strain","WGS","GENOMIC","RANDOM"
"SRX4687254","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780613","","220.02","1","2779317","556943791","strain","WGS","GENOMIC","RANDOM"
"SRX4687253","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780609","","285.44","1","3210379","633162219","strain","WGS","GENOMIC","RANDOM"
"SRX4687252","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780610","","145.56","1","1679061","333845443","strain","WGS","GENOMIC","RANDOM"
"SRX4687251","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780606","","164.96","1","1877384","376480507","strain","WGS","GENOMIC","RANDOM"
"SRX4687250","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780614","","129.35","1","1531748","306988962","strain","WGS","GENOMIC","RANDOM"
"SRX4687249","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780605","","118.03","1","1349114","269421978","strain","WGS","GENOMIC","RANDOM"
"SRX4687248","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780607","","137.24","1","1532086","306829090","strain","WGS","GENOMIC","RANDOM"
"SRX4687247","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780611","","136.16","1","1546618","309912261","strain","WGS","GENOMIC","RANDOM"
"SRX4687246","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3780604","","149.67","1","1709163","342678016","strain","WGS","GENOMIC","RANDOM"
"SRX4686513","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3779873","","171.36","1","1955063","392076772","strain","WGS","GENOMIC","RANDOM"
"SRX4686512","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3779871","","312.32","1","3672363","701734961","strain","WGS","GENOMIC","RANDOM"
"SRX4686511","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3779872","","304.16","1","3381315","675448820","strain","WGS","GENOMIC","RANDOM"
"SRX4686510","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3779870","","251.82","1","2939712","585580287","strain","WGS","GENOMIC","RANDOM"
"SRX4686509","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3779869","","286.62","1","3207965","642947423","strain","WGS","GENOMIC","RANDOM"
"SRX4686508","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3779867","","87.36","1","987874","198282053","strain","WGS","GENOMIC","RANDOM"
"SRX4686507","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3779866","","117.11","1","1305018","261455121","strain","WGS","GENOMIC","RANDOM"
"SRX4686506","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3779865","","246.23","1","2802572","560120223","strain","WGS","GENOMIC","RANDOM"
"SRX4686505","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3779864","","287.99","1","3432320","687094519","strain","WGS","GENOMIC","RANDOM"
"SRX4686504","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3779862","","138.12","1","1695390","339234263","strain","WGS","GENOMIC","RANDOM"
"SRX4686503","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3779863","","221.31","1","2700999","539906391","strain","WGS","GENOMIC","RANDOM"
"SRX4686502","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3779860","","184.21","1","2187491","439039724","strain","WGS","GENOMIC","RANDOM"
"SRX4686501","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3779861","","191.56","1","2183878","436089941","strain","WGS","GENOMIC","RANDOM"
