Experiment.Accession,Experiment.Title,Organism.Name,Instrument,Submitter,Study.Accession,Study.Title,Sample.Accession,Sample.Title,Total.Size..Mb,Total.RUNs,Total.Spots,Total.Bases,Library.Name,Library.Strategy,Library.Source,Library.Selection
SRX4690260,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783636,NA,206.43,1,2595106,519432655,strain,WGS,GENOMIC,RANDOM
SRX4690259,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783618,NA,163.37,1,1839763,366973548,strain,WGS,GENOMIC,RANDOM
SRX4690258,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783617,NA,150.44,1,1865360,373607581,strain,WGS,GENOMIC,RANDOM
SRX4690257,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783616,NA,215.45,1,2418115,484006375,strain,WGS,GENOMIC,RANDOM
SRX4690254,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783613,NA,174.88,1,1997695,399402262,strain,WGS,GENOMIC,RANDOM
SRX4690253,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783612,NA,170.08,1,1888138,378054925,strain,WGS,GENOMIC,RANDOM
SRX4690252,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783611,NA,156.51,1,1809755,360702088,strain,WGS,GENOMIC,RANDOM
SRX4690250,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783609,NA,96.72,1,1259218,252671203,strain,WGS,GENOMIC,RANDOM
SRX4690246,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783605,NA,111.56,1,1230943,246602748,strain,WGS,GENOMIC,RANDOM
SRX4690245,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783606,NA,68.06,1,742861,145724041,strain,WGS,GENOMIC,RANDOM
SRX4690244,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783604,NA,254.67,1,2756581,553340535,strain,WGS,GENOMIC,RANDOM
SRX4690243,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3783603,NA,363.51,1,4198311,842118223,strain,WGS,GENOMIC,RANDOM
SRX4689501,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3782861,NA,296.96,1,3368757,674832681,strain,WGS,GENOMIC,RANDOM
SRX4689499,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3782860,NA,85.6,1,1150500,230208873,strain,WGS,GENOMIC,RANDOM
SRX4689485,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3782842,NA,198.59,1,2219557,444844902,strain,WGS,GENOMIC,RANDOM
SRX4688018,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3781378,NA,359.1,1,3960860,792641090,strain,WGS,GENOMIC,RANDOM
SRX4688017,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3781376,NA,168.91,1,2076977,416817310,strain,WGS,GENOMIC,RANDOM
SRX4688016,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3781377,NA,199.82,1,2237337,448330300,strain,WGS,GENOMIC,RANDOM
SRX4687275,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3780632,NA,306.69,1,3300657,659516264,strain,WGS,GENOMIC,RANDOM
SRX4687274,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3780634,NA,173.93,1,2171941,433543625,strain,WGS,GENOMIC,RANDOM
SRX4687272,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3780630,NA,81.74,1,952949,191251600,strain,WGS,GENOMIC,RANDOM
SRX4687271,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3780629,NA,172.46,1,2210561,442964345,strain,WGS,GENOMIC,RANDOM
SRX4687268,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3780627,NA,182.09,1,2065851,414456816,strain,WGS,GENOMIC,RANDOM
SRX4687267,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3780625,NA,237.01,1,2705940,539997045,strain,WGS,GENOMIC,RANDOM
SRX4687265,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3780623,NA,180.37,1,2350782,471149625,strain,WGS,GENOMIC,RANDOM
SRX4687264,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3780626,NA,123.38,1,1401037,280633895,strain,WGS,GENOMIC,RANDOM
SRX4687261,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3780622,NA,237.47,1,2648991,529129443,strain,WGS,GENOMIC,RANDOM
SRX4687258,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3780619,NA,227.09,1,2759283,552003727,strain,WGS,GENOMIC,RANDOM
SRX4687257,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3780616,NA,159.9,1,1992369,399457022,strain,WGS,GENOMIC,RANDOM
SRX4687256,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3780608,NA,264.53,1,3090387,600824134,strain,WGS,GENOMIC,RANDOM
SRX4687255,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3780612,NA,369.49,1,3995840,800421691,strain,WGS,GENOMIC,RANDOM
SRX4687254,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3780613,NA,220.02,1,2779317,556943791,strain,WGS,GENOMIC,RANDOM
SRX4687250,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3780614,NA,129.35,1,1531748,306988962,strain,WGS,GENOMIC,RANDOM
SRX4687247,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3780611,NA,136.16,1,1546618,309912261,strain,WGS,GENOMIC,RANDOM
SRX4687246,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3780604,NA,149.67,1,1709163,342678016,strain,WGS,GENOMIC,RANDOM
SRX4686511,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3779872,NA,304.16,1,3381315,675448820,strain,WGS,GENOMIC,RANDOM
SRX4686510,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3779870,NA,251.82,1,2939712,585580287,strain,WGS,GENOMIC,RANDOM
SRX4686509,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3779869,NA,286.62,1,3207965,642947423,strain,WGS,GENOMIC,RANDOM
SRX4686508,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3779867,NA,87.36,1,987874,198282053,strain,WGS,GENOMIC,RANDOM
SRX4686507,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3779866,NA,117.11,1,1305018,261455121,strain,WGS,GENOMIC,RANDOM
SRX4686504,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3779862,NA,138.12,1,1695390,339234263,strain,WGS,GENOMIC,RANDOM
SRX4686503,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3779863,NA,221.31,1,2700999,539906391,strain,WGS,GENOMIC,RANDOM
SRX4686502,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3779860,NA,184.21,1,2187491,439039724,strain,WGS,GENOMIC,RANDOM
SRX4686501,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3779861,NA,191.56,1,2183878,436089941,strain,WGS,GENOMIC,RANDOM
SRX4686500,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3779857,NA,371.73,1,4421673,885484548,strain,WGS,GENOMIC,RANDOM
SRX4686498,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3779855,NA,148.72,1,1862733,372513703,strain,WGS,GENOMIC,RANDOM
SRX4686296,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3779654,NA,314.35,1,3503635,697182971,strain,WGS,GENOMIC,RANDOM
SRX4686295,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3779655,NA,161.21,1,2038319,407742188,strain,WGS,GENOMIC,RANDOM
SRX4686294,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3779656,NA,292.34,1,3369484,674085363,strain,WGS,GENOMIC,RANDOM
SRX4686292,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3779651,NA,100.46,1,1199103,240597110,strain,WGS,GENOMIC,RANDOM
SRX4685557,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3778916,NA,247.18,1,2846070,568074763,strain,WGS,GENOMIC,RANDOM
SRX4685556,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3778917,NA,141.99,1,1775545,355268139,strain,WGS,GENOMIC,RANDOM
SRX4685555,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3778914,NA,155.94,1,1778014,355118599,strain,WGS,GENOMIC,RANDOM
SRX4685553,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3778915,NA,171.03,1,2049241,410419522,strain,WGS,GENOMIC,RANDOM
SRX4685552,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3778912,NA,71.72,1,946277,189772910,strain,WGS,GENOMIC,RANDOM
SRX4685549,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3778909,NA,103.43,1,1156197,230860864,strain,WGS,GENOMIC,RANDOM
SRX4685548,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3778908,NA,135.18,1,1481459,295318328,strain,WGS,GENOMIC,RANDOM
SRX4684802,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3778162,NA,234.42,1,2617522,524749930,strain,WGS,GENOMIC,RANDOM
SRX4684069,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777429,NA,192.75,1,2406622,479672026,strain,WGS,GENOMIC,RANDOM
SRX4684068,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777427,NA,218.27,1,2842251,570357375,strain,WGS,GENOMIC,RANDOM
SRX4684067,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777428,NA,234.78,1,2976411,596571600,strain,WGS,GENOMIC,RANDOM
SRX4684064,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777424,NA,180.96,1,2221602,444087476,strain,WGS,GENOMIC,RANDOM
SRX4684063,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777421,NA,145.57,1,1829540,366544037,strain,WGS,GENOMIC,RANDOM
SRX4684062,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777423,NA,184.35,1,2076468,416022904,strain,WGS,GENOMIC,RANDOM
SRX4684061,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777422,NA,192.21,1,2462788,493813257,strain,WGS,GENOMIC,RANDOM
SRX4684060,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777418,NA,186.71,1,2301426,459598235,strain,WGS,GENOMIC,RANDOM
SRX4684058,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777420,NA,161.14,1,1996252,399844229,strain,WGS,GENOMIC,RANDOM
SRX4684057,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777416,NA,168.78,1,2142754,429899333,strain,WGS,GENOMIC,RANDOM
SRX4684056,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777417,NA,58.44,1,658412,131521076,strain,WGS,GENOMIC,RANDOM
SRX4684050,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777409,NA,195.89,1,2296890,459521513,strain,WGS,GENOMIC,RANDOM
SRX4684049,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777410,NA,160.17,1,1763274,352896876,strain,WGS,GENOMIC,RANDOM
SRX4684047,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777408,NA,186.24,1,2266752,454690255,strain,WGS,GENOMIC,RANDOM
SRX4684046,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777406,NA,167.38,1,1878191,376087043,strain,WGS,GENOMIC,RANDOM
SRX4684044,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777405,NA,145.71,1,1607628,322168171,strain,WGS,GENOMIC,RANDOM
SRX4684043,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777404,NA,159.42,1,1824602,365463665,strain,WGS,GENOMIC,RANDOM
SRX4684039,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777397,NA,158.03,1,1783161,356540199,strain,WGS,GENOMIC,RANDOM
SRX4684038,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777399,NA,158.98,1,2108414,422689320,strain,WGS,GENOMIC,RANDOM
SRX4684037,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777398,NA,105.37,1,1379705,276735270,strain,WGS,GENOMIC,RANDOM
SRX4684036,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777396,NA,117.85,1,1581235,316945373,strain,WGS,GENOMIC,RANDOM
SRX4684034,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777394,NA,130.12,1,1483987,297206290,strain,WGS,GENOMIC,RANDOM
SRX4684033,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777393,NA,151.86,1,1706357,342379747,strain,WGS,GENOMIC,RANDOM
SRX4684032,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777392,NA,157.03,1,1820859,363702777,strain,WGS,GENOMIC,RANDOM
SRX4684031,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3777391,NA,127.56,1,1496875,299652176,strain,WGS,GENOMIC,RANDOM
SRX4683298,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3776657,NA,149.9,1,1723205,345272173,strain,WGS,GENOMIC,RANDOM
SRX4683296,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3776654,NA,123.64,1,1345974,269833022,strain,WGS,GENOMIC,RANDOM
SRX4683295,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3776655,NA,153.64,1,1747328,349564812,strain,WGS,GENOMIC,RANDOM
SRX4683293,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3776653,NA,152.07,1,1775571,355413036,strain,WGS,GENOMIC,RANDOM
SRX4683290,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3776650,NA,111.63,1,1413030,283669318,strain,WGS,GENOMIC,RANDOM
SRX4683288,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3776647,NA,93.96,1,1018599,203699787,strain,WGS,GENOMIC,RANDOM
SRX4678068,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3771863,NA,217.98,1,2755024,551220652,strain,WGS,GENOMIC,RANDOM
SRX4678051,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3771848,NA,216.57,1,2651709,530938436,strain,WGS,GENOMIC,RANDOM
SRX4678048,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3771845,NA,141.6,1,1638176,327710730,strain,WGS,GENOMIC,RANDOM
SRX4678042,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3771839,NA,175.85,1,2124591,425620401,strain,WGS,GENOMIC,RANDOM
SRX4678041,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3771838,NA,179.24,1,2255557,450920327,strain,WGS,GENOMIC,RANDOM
SRX4678039,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3771836,NA,216.33,1,2462966,493876021,strain,WGS,GENOMIC,RANDOM
