ID, file_name,cds,trna,hypothetical protein,transposase,pseudogene,conjuga,phage,fimbrial,plasmid,crispr,resistance,virulence,secretion system
esc_ka6844aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR5035015_trimmed.velvet.gff,4652,72,736,69,0,47,190,65,33,2,112,10,44
esc_sa1569aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7172431_trimmed.velvet.gff,4706,86,708,87,0,22,240,54,30,10,107,12,62
esc_ka4546aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ka4546aa_as.fasta.gff,5230,65,866,52,0,71,380,73,45,12,112,11,54
esc_ka4546aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR5035016_trimmed.velvet.gff,5551,74,1669,54,0,73,360,69,43,12,97,9,47
srs3528661,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/annot/SRR7500922_trimmed.velvet.gff,5119,77,848,68,0,21,368,79,33,11,126,10,74
esc_sa6564aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7358043_trimmed.velvet.gff,4951,85,780,62,0,10,347,69,32,11,122,9,61
esc_ca2823aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ca2823aa_as.fasta.gff,4590,69,700,52,0,4,257,59,16,19,111,8,56
esc_ca4045aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ca4045aa_as.fasta.gff,4335,59,645,54,0,11,142,64,19,3,110,8,42
11679_4#58,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/brodrick2017/11679_4#58.gff,4874,77,761,58,0,34,371,53,35,2,110,7,40
11679_4#58,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11679_4#58.gff,4874,77,761,58,0,34,371,53,35,2,110,7,40
srs3528662,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/annot/SRR7500923_trimmed.velvet.gff,4800,68,1036,71,0,42,214,70,27,3,111,9,57
esc_ca1200aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ca1200aa_as.fasta.gff,4484,57,668,32,0,47,185,66,34,3,115,11,66
esc_ca5960aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ca5960aa_as.fasta.gff,4546,72,658,65,0,38,194,51,33,3,117,8,39
esc_ca2252aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ca2252aa_as.fasta.gff,4566,54,660,56,0,13,245,60,17,4,113,10,69
esc_ca4207aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ca4207aa_as.fasta.gff,4925,75,780,56,0,46,338,72,32,12,121,8,57
esc_ra3542aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ra3542aa_as.fasta.gff,5033,75,785,49,0,58,365,86,46,11,113,11,50
esc_ca3481aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ca3481aa_as.fasta.gff,4853,80,748,80,0,35,238,61,30,11,125,9,52
esc_sa9399aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/annot/SRR7500925_trimmed.velvet.gff,4720,79,729,85,0,46,256,62,40,3,108,9,57
esc_ca3511aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ca3511aa_as.fasta.gff,4721,65,715,56,0,35,277,51,32,3,109,7,40
esc_ha3299aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR3773897_trimmed.velvet.gff,5053,85,809,63,0,10,393,69,31,11,118,10,68
esc_ha3299aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ha3299aa_as.fasta.gff,5118,83,801,67,0,11,404,69,32,11,123,10,66
esc_ga9226aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ga9226aa_as.fasta.gff,4608,76,667,52,0,73,248,54,36,3,108,8,53
esc_ga9226aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR3578665_trimmed.velvet.gff,4526,75,721,53,0,73,238,53,37,3,102,8,50
srs3532558,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7505888_trimmed.velvet.gff,4768,74,734,71,0,41,290,63,30,9,110,10,52
srs3532559,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7505889_trimmed.velvet.gff,4825,78,719,58,0,7,307,72,27,11,122,12,63
srs3532555,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7505885_trimmed.velvet.gff,4851,71,760,114,0,41,283,73,36,15,111,14,58
srs3532557,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7505887_trimmed.velvet.gff,4894,68,751,87,0,42,311,72,38,15,118,14,58
srs3532549,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7505880_trimmed.velvet.gff,5126,85,811,62,0,20,385,79,32,11,127,12,76
srs3532548,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7505881_trimmed.velvet.gff,4496,80,698,56,0,4,206,62,14,3,108,8,46
esc_ja8130aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ja8130aa_as.fasta.gff,4536,81,736,56,0,6,274,49,24,12,110,11,35
esc_ja8130aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR5018108_trimmed.velvet.gff,4496,69,737,52,0,6,276,48,24,11,106,11,34
srs3532554,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7505883_trimmed.velvet.gff,5176,89,788,66,0,51,435,66,43,12,115,10,63
esc_ja4408aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ja4408aa_as.fasta.gff,5000,74,752,58,0,10,401,75,31,11,123,10,65
esc_ja4408aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR4786741_trimmed.velvet.gff,5009,84,769,61,0,9,398,74,31,11,121,10,66
esc_ca3762aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ca3762aa_as.fasta.gff,4894,68,793,57,0,57,256,68,40,12,113,9,80
esc_sa6566aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7358045_trimmed.velvet.gff,5138,80,870,61,0,53,309,81,35,11,116,10,60
11679_5#66,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11679_5#66.gff,4879,72,726,67,0,47,330,72,38,12,121,8,61
11791_7#70,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11791_7#70.gff,4627,65,687,48,0,43,274,64,33,3,109,10,40
esc_ha8436aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ha8436aa_as.fasta.gff,4509,53,707,61,0,27,216,54,40,3,109,7,43
srs3592423,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7588719_trimmed.velvet.gff,5020,89,767,62,0,10,383,74,33,11,122,10,68
srs3592422,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7588718_trimmed.velvet.gff,5027,75,765,62,0,10,374,74,33,11,123,10,68
srs3592419,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7588715_trimmed.velvet.gff,5065,87,773,65,0,24,370,69,42,11,123,10,70
srs3592418,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7588714_trimmed.velvet.gff,5112,85,801,56,0,26,371,75,41,11,124,12,72
srs3592417,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7588713_trimmed.velvet.gff,5016,77,806,63,0,21,368,75,33,11,125,12,73
srs3592415,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7588712_trimmed.velvet.gff,5066,80,759,61,0,18,426,75,34,11,124,10,70
esc_pa2010aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_pa2010aa_as.fasta.gff,4521,77,672,28,0,3,249,65,21,12,110,10,62
esc_ja4863aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ja4863aa_as.fasta.gff,5214,67,832,60,0,21,416,77,35,11,126,13,74
esc_ja4863aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR4788367_trimmed.velvet.gff,5135,80,843,64,0,20,395,75,34,11,126,11,71
esc_ja4860aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR4788362_trimmed.velvet.gff,4910,91,766,59,0,10,333,67,29,11,119,9,60
esc_ja4860aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ja4860aa_as.fasta.gff,4968,63,753,57,0,9,348,69,29,11,123,10,67
esc_ja4859aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR4788361_trimmed.velvet.gff,4990,79,755,60,0,9,396,74,31,11,120,10,67
esc_ja4859aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ja4859aa_as.fasta.gff,5006,74,749,58,0,9,404,75,30,11,122,10,65
esc_ra7256aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR6820991_trimmed.velvet.gff,5085,84,841,65,0,23,357,74,38,10,124,9,71
esc_ra7256aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ra7256aa_as.fasta.gff,5065,72,797,59,0,23,340,74,41,11,121,10,71
esc_ra7258aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ra7258aa_as.fasta.gff,5064,68,787,58,0,9,381,75,33,11,121,10,67
esc_ra7258aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR6820993_trimmed.velvet.gff,5055,86,816,61,0,10,407,75,34,11,117,9,61
srs3031722,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR6820992_trimmed.velvet.gff,4954,80,794,62,0,9,343,75,31,11,117,10,67
esc_ja4756aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR4788148_trimmed.velvet.gff,4750,75,732,56,1,3,323,68,17,10,107,10,40
esc_ja4756aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ja4756aa_as.fasta.gff,4742,63,728,51,1,3,325,69,16,10,107,10,40
esc_qa2183aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_qa2183aa_as.fasta.gff,5024,72,760,54,0,13,434,69,23,12,116,10,63
esc_ha8438aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ha8438aa_as.fasta.gff,4413,54,674,21,0,47,194,68,25,12,107,9,37
esc_ha0197aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ha0197aa_as.fasta.gff,5245,96,792,108,0,22,404,72,28,11,118,9,65
esc_ia0862aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ia0862aa_as.fasta.gff,4956,84,761,61,0,5,381,63,27,7,121,10,48
esc_ka4599aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ka4599aa_as.fasta.gff,4863,67,739,51,0,5,364,63,28,10,115,10,47
esc_ka4599aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR5033718_trimmed.velvet.gff,4807,82,753,62,0,5,376,61,27,9,113,9,39
srs3028160,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/annot/SRR6816951_trimmed.velvet.gff,5167,90,815,65,0,28,388,75,41,11,126,11,75
esc_la5640aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_la5640aa_as.fasta.gff,5066,75,763,62,0,9,402,77,34,11,122,12,67
esc_ka6868aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR5033712_trimmed.velvet.gff,5114,71,914,65,0,66,360,73,42,12,115,11,54
esc_ka6868aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ka6868aa_as.fasta.gff,5152,59,876,60,0,65,366,73,44,12,119,12,55
esc_ka6867aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR5033715_trimmed.velvet.gff,4785,77,862,63,0,37,298,55,28,19,111,6,53
esc_ka6867aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ka6867aa_as.fasta.gff,4768,73,749,58,0,38,294,59,28,19,117,8,57
esc_ka6866aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR5033716_trimmed.velvet.gff,5005,65,970,90,0,51,323,62,39,3,109,7,32
esc_ka6866aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ka6866aa_as.fasta.gff,4982,63,771,91,0,51,338,61,38,3,117,8,34
esc_ka1110aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR5033717_trimmed.velvet.gff,4953,75,899,67,0,30,348,69,50,10,101,12,36
esc_ka1110aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ka1110aa_as.fasta.gff,5015,59,815,61,0,31,355,73,50,11,110,14,42
srs3780604,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7836283_trimmed.velvet.gff,4993,78,760,60,0,9,366,75,32,11,122,10,69
srs3780614,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7836287_trimmed.velvet.gff,4918,85,752,60,0,8,349,72,30,11,121,10,67
srs3780611,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7836284_trimmed.velvet.gff,5168,77,862,83,0,51,402,81,39,11,116,11,60
jsis00000000,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR1314506_trimmed.velvet.gff,4794,80,848,58,0,41,279,60,38,17,111,8,58
jsis00000000,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/salipante2014/annotation/JSIS00000000.fa.gff,4813,56,726,68,0,47,301,60,38,17,114,8,61
esc_sa5069aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7276946_trimmed.velvet.gff,6104,69,2698,67,0,10,286,63,28,6,94,4,45
9803_5#83,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/murray/9803_5#83.gff,4242,84,657,68,0,8,143,46,19,4,106,10,12
9803_5#80,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/murray/9803_5#80.gff,4093,76,661,64,0,6,158,31,19,11,104,8,23
esc_sa5068aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/annot/SRR7276945_trimmed.velvet.gff,4929,82,821,66,0,32,330,70,46,11,109,13,41
srs3777397,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7833076_trimmed.velvet.gff,4967,83,770,58,0,21,331,69,32,11,121,10,75
srs3777399,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7833075_trimmed.velvet.gff,4779,76,777,80,1,67,209,66,41,12,118,11,59
srs3777398,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7833074_trimmed.velvet.gff,4399,76,738,54,0,7,177,62,26,3,102,8,45
esc_ia0348aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ia0348aa_as.fasta.gff,5363,80,817,79,1,18,506,74,43,12,115,10,52
esc_pa7944aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_pa7944aa_as.fasta.gff,5103,69,816,51,0,21,378,75,33,11,121,10,76
esc_pa7944aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR6079424_trimmed.velvet.gff,5090,84,846,68,0,22,377,72,34,10,120,10,61
esc_ia0352aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ia0352aa_as.fasta.gff,4988,85,712,93,0,15,359,72,22,12,117,9,65
esc_ia0351aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ia0351aa_as.fasta.gff,4857,69,825,117,0,30,248,59,41,13,114,9,27
esc_pa7943aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR6079421_trimmed.velvet.gff,4976,89,778,58,0,10,365,69,34,11,119,9,55
esc_pa7943aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_pa7943aa_as.fasta.gff,5020,79,772,55,0,9,377,69,33,11,121,10,65
esc_pa7942aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_pa7942aa_as.fasta.gff,5145,71,811,61,0,10,392,69,35,11,123,10,66
esc_pa7942aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR6079420_trimmed.velvet.gff,5010,99,819,58,0,11,371,69,35,11,118,10,57
esc_ia0353aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ia0353aa_as.fasta.gff,5374,80,836,86,0,20,523,69,39,11,112,11,68
11679_7#58,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11679_7#58.gff,4755,75,734,70,0,46,251,50,48,3,109,8,32
11679_7#58,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/brodrick2017/11679_7#58.gff,4755,75,734,70,0,46,251,50,48,3,109,8,32
11679_7#59,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11679_7#59.gff,4607,77,690,72,0,40,193,58,33,3,112,8,40
esc_sa7290aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7416051_trimmed.velvet.gff,4892,80,740,55,0,9,332,71,32,11,122,11,67
esc_ka1272aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/exist/annot/SRR5035010_trimmed.gff,4377,67,668,33,0,66,131,51,46,3,106,6,58
esc_ka1272aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ka1272aa_as.fasta.gff,4436,69,642,39,0,63,136,52,48,3,108,6,60
11679_7#50,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11679_7#50.gff,4764,82,741,91,0,5,190,73,35,3,110,11,47
11679_7#51,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11679_7#51.gff,4647,75,737,67,0,40,185,68,30,3,117,9,58
11679_7#52,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11679_7#52.gff,4617,74,732,57,0,6,193,66,14,3,112,9,57
11679_7#53,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11679_7#53.gff,4595,75,672,59,0,2,232,50,17,13,115,10,39
11679_7#54,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11679_7#54.gff,4742,69,714,65,0,37,252,50,36,2,114,10,40
